coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,fixation.started,dots.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.03125,0,36,8,2,left,0.4052143329754472,None,2,8,36,5,31.84367612504866,,,,,,,,,31.83889116696082,31.84367612504866,31.84367612504866,31.937195208040066,32.238195916987024,32.425615667016245,32.425615667016245,32.440539874951355,32.440539874951355,32.83844924997538,left,0.4052143329754472,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,180,37,9,2,left,0.26773016597144306,None,2,9,37,12,32.84345104196109,,,,,,,,,32.83899158297572,32.84345104196109,32.84345104196109,32.93683533300646,33.23767850000877,33.43800495797768,33.43800495797768,33.4550113750156,33.4550113750156,33.72346479201224,left,0.26773016597144306,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,0,38,10,2,right,0.2099108339753002,None,2,10,38,0,33.729421374970116,,,,,,,,,33.72410208301153,33.729421374970116,33.729421374970116,33.820444124983624,34.121931792004034,34.325410041958094,34.325410041958094,34.325410041958094,34.325410041958094,34.539142000023276,right,0.2099108339753002,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.125,180,39,11,2,left,0.26241974998265505,None,2,11,39,10,34.55386316694785,,,,,,,,,34.53965045802761,34.55386316694785,34.55386316694785,34.637132124975324,34.9379118749639,35.138704041950405,35.138704041950405,35.15536145796068,35.15536145796068,35.40848529199138,left,0.26241974998265505,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,180,40,12,2,left,0.6189397079870105,None,2,12,40,13,35.42054408299737,,,,,,,,,35.409005541936494,35.42054408299737,35.42054408299737,35.50776649999898,35.80713462503627,36.00337916694116,36.00337916694116,36.00873629201669,36.00873629201669,36.63783308304846,left,0.6189397079870105,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,0,41,13,2,right,0.2315154590178281,None,2,13,41,6,36.641536916955374,,,,,,,,,36.63839658303186,36.641536916955374,36.641536916955374,36.724350917036645,37.037858583033085,37.23766274994705,37.23766274994705,37.25469679199159,37.25469679199159,37.47535437496845,right,0.2315154590178281,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,180,42,0,3,left,0.25134583399631083,None,3,0,42,7,37.48723529197741,,,,,,,,,37.476064792019315,37.48723529197741,37.48723529197741,37.57313387503382,37.88785125000868,38.087962249992415,38.087962249992415,38.087962249992415,38.087962249992415,38.34637754200958,left,0.25134583399631083,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,180,43,1,3,left,0.2769894580123946,None,3,1,43,11,38.353756458032876,,,,,,,,,38.34693054202944,38.353756458032876,38.353756458032876,38.441021666978486,38.753823291976005,38.939196999999695,38.939196999999695,38.939196999999695,38.939196999999695,39.22161391703412,left,0.2769894580123946,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.125,0,44,2,3,right,0.387043458991684,None,3,2,44,3,39.22726404201239,,,,,,,,,39.2221372500062,39.22726404201239,39.22726404201239,39.32042229198851,39.6210676250048,39.82134379202034,39.82134379202034,39.83727004204411,39.83727004204411,40.22241791698616,right,0.387043458991684,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,0,45,3,3,right,0.24309870798606426,None,3,3,45,4,40.23726004199125,,,,,,,,,40.22294179198798,40.23726004199125,40.23726004199125,40.32049320801161,40.6058172499761,40.837597833015025,40.837597833015025,40.837597833015025,40.837597833015025,41.08916212501936,right,0.24309870798606426,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,0,46,4,3,right,0.20092591701541096,None,3,4,46,1,41.103847082937136,,,,,,,,,41.08986649999861,41.103847082937136,41.103847082937136,41.18662916694302,41.47266808303539,41.68749408295844,41.68749408295844,41.70491133304313,41.70491133304313,41.893319249968044,right,0.20092591701541096,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,0,47,5,3,right,0.5276087919482961,None,3,5,47,6,41.90372166701127,,,,,,,,,41.89384000003338,41.90372166701127,41.90372166701127,41.99181875004433,42.305096541997045,42.504375291988254,42.504375291988254,42.504375291988254,42.504375291988254,43.03964208299294,right,0.5276087919482961,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,0,48,6,3,right,0.22332520806230605,None,3,6,48,2,43.04404562502168,,,,,,,,,43.04004666698165,43.04404562502168,43.04404562502168,43.137017166940495,43.424203792004846,43.65415650000796,43.65415650000796,43.65415650000796,43.65415650000796,43.888406999991275,right,0.22332520806230605,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.5,180,49,7,3,left,0.24366070807445794,None,3,7,49,8,43.89412158296909,,,,,,,,,43.88896208303049,43.89412158296909,43.89412158296909,43.98712375003379,44.287979332963005,44.4879949579481,44.4879949579481,44.50468029198237,44.50468029198237,44.73839912493713,left,0.24366070807445794,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,180,50,8,3,left,0.23490929196123034,None,3,8,50,9,44.74405537499115,,,,,,,,,44.73888562503271,44.74405537499115,44.74405537499115,44.83704887505155,45.13770429196302,45.33706820802763,45.33706820802763,45.34236858296208,45.34236858296208,45.574090917012654,left,0.23490929196123034,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,0,51,9,3,left,0.23062020901124924,None,3,9,51,5,45.58708312502131,,,,,,,,,45.574605542002246,45.58708312502131,45.58708312502131,45.67315212497488,45.970354708028026,46.1717879580101,46.1717879580101,46.1717879580101,46.1717879580101,46.40630620799493,left,0.23062020901124924,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,180,52,10,3,left,0.30243612499907613,None,3,10,52,13,46.42044195800554,,,,,,,,,46.406981082982384,46.42044195800554,46.42044195800554,46.503665833035484,46.7892502079485,47.003805582993664,47.003805582993664,47.00738004199229,47.00738004199229,47.30806979199406,left,0.30243612499907613,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.125,180,53,11,3,left,0.27550824999343604,None,3,11,53,10,47.32037983299233,,,,,,,,,47.30858812504448,47.32037983299233,47.32037983299233,47.407029457972385,47.721731832949445,47.92101712501608,47.92101712501608,47.92101712501608,47.92101712501608,48.20579241705127,left,0.27550824999343604,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,0,54,12,3,right,0.16259891691152006,None,3,12,54,0,48.22058175003622,,,,,,,,,48.20629324996844,48.22058175003622,48.22058175003622,48.30368183297105,48.58923508296721,48.82089795800857,48.82089795800857,48.82089795800857,48.82089795800857,48.99063999997452,right,0.16259891691152006,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,180,55,13,3,left,0.2724129579728469,None,3,13,55,12,48.99637679196894,,,,,,,,,48.99121987493709,48.99637679196894,48.99637679196894,49.09101987502072,49.40464604203589,49.592872499953955,49.592872499953955,49.592872499953955,49.592872499953955,49.87412545795087,left,0.2724129579728469,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,0,56,0,4,left,0.2486347499070689,None,4,0,56,4,49.8871562499553,,,,,,,,,49.87465383298695,49.8871562499553,49.8871562499553,49.96960399998352,50.270492292009294,50.470404666964896,50.470404666964896,50.47416366694961,50.47416366694961,50.721835542004555,left,0.2486347499070689,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.0625,180,57,1,4,right,0.3791920420480892,None,4,1,57,11,50.72783616697416,,,,,,,,,50.72261862503365,50.72783616697416,50.72783616697416,50.82046383304987,51.120806292048655,51.32177454198245,51.32177454198245,51.33789529197384,51.33789529197384,51.70532824995462,right,0.3791920420480892,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,0,58,2,4,right,0.28480145800858736,None,4,2,58,2,51.71113991702441,,,,,,,,,51.705843916977756,51.71113991702441,51.71113991702441,51.80370741698425,52.08923258294817,52.303869333001785,52.303869333001785,52.30897074996028,52.30897074996028,52.606079792021774,right,0.28480145800858736,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,180,59,3,4,right,0.2501261670840904,None,4,3,59,12,52.620576999965124,,,,,,,,,52.60664816701319,52.620576999965124,52.620576999965124,52.72126925003249,53.02134845801629,53.22198612499051,53.22198612499051,53.22198612499051,53.22198612499051,53.47920037503354,right,0.2501261670840904,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.03125,0,60,4,4,right,0.3222602920141071,None,4,4,60,5,53.48709804203827,,,,,,,,,53.479748792015016,53.48709804203827,53.48709804203827,53.57463195803575,53.87286745803431,54.08763829199597,54.08763829199597,54.08763829199597,54.08763829199597,54.421772917034104,right,0.3222602920141071,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0.25,180,61,5,4,left,0.20397945796139538,None,4,5,61,9,54.42720504198223,,,,,,,,,54.42229266697541,54.42720504198223,54.42720504198223,54.520447749993764,54.82058395794593,55.02100612502545,55.02100612502545,55.037263500038534,55.037263500038534,55.239993750001304,left,0.20397945796139538,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,180,62,6,4,left,0.2884277499979362,None,4,6,62,13,55.24576854205225,,,,,,,,,55.24067216704134,55.24576854205225,55.24576854205225,55.33698449993972,55.626739874947816,55.838259499985725,55.838259499985725,55.85451887501404,55.85451887501404,56.14026883302722,left,0.2884277499979362,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
1,180,63,7,4,left,0.1774818750564009,None,4,7,63,7,56.153896957985125,,,,,,,,,56.14080295804888,56.153896957985125,56.153896957985125,56.254446457955055,56.55434954201337,56.754181499942206,56.754181499942206,56.754181499942206,56.754181499942206,56.93888087500818,left,0.1774818750564009,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
0,0,64,8,4,right,0.22453150001820177,None,4,8,64,6,56.942908541997895,,,,,,,,,56.93969304196071,56.942908541997895,56.942908541997895,57.03620612504892,57.32277474994771,57.53655337495729,57.53655337495729,57.53655337495729,57.53655337495729,57.77323599997908,right,0.22453150001820177,None,215921,001,2025-03-03_22h14.43.732,motion-simple-example,2024.2.4,None,2025-03-03 22h14.48.334762 -0500,
