coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,dots.started,polygon.started,fixation.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,180,24,10,1,left,0.3381433750037104,None,1,10,24,12,23.124875374953263,,,,,,,,,23.112578540924005,23.20943179097958,23.124875374953263,23.124875374953263,23.508320415974595,23.72602091601584,23.72602091601584,23.72602091601584,23.72602091601584,24.076222124975175,left,0.3381433750037104,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,0,25,11,1,right,0.20207329094409943,None,1,11,25,4,24.081800290965475,,,,,,,,,24.076725249993615,24.175002707983367,24.081800290965475,24.081800290965475,24.47624883300159,24.67494512500707,24.67494512500707,24.677880915929563,24.677880915929563,24.893982624984346,right,0.20207329094409943,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,0,26,12,1,right,0.45166775002144277,None,1,12,26,5,24.89940337499138,,,,,,,,,24.894497041008435,24.991680832928978,24.89940337499138,24.89940337499138,25.276734165963717,25.491614707978442,25.491614707978442,25.49393091595266,25.49393091595266,25.951918457983993,right,0.45166775002144277,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,0,27,13,1,right,0.1843068751040846,None,1,13,27,1,25.958176458021626,,,,,,,,,25.952620583004318,26.048493582988158,25.958176458021626,25.958176458021626,26.359333332977258,26.559226249926724,26.559226249926724,26.559226249926724,26.559226249926724,26.7456049999455,right,0.1843068751040846,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,0,28,0,2,right,0.2427307500038296,None,2,0,28,4,26.758239791030064,,,,,,,,,26.746145499986596,26.845460291020572,26.758239791030064,26.758239791030064,27.141697374987416,27.35901416593697,27.35901416593697,27.35901416593697,27.35901416593697,27.61059920792468,right,0.2427307500038296,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.4,0,29,1,2,right,0.23515120800584555,None,2,1,29,2,27.62500787503086,,,,,,,,,27.61129070795141,27.70828687492758,27.62500787503086,27.62500787503086,27.994886124972254,28.208280249964446,28.208280249964446,28.21381104097236,28.21381104097236,28.45916445797775,right,0.23515120800584555,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.3,0,30,2,2,right,0.22789354203268886,None,2,2,30,3,28.46292020799592,,,,,,,,,28.45967320795171,28.55949666595552,28.46292020799592,28.46292020799592,28.858329999959096,29.044997332966886,29.044997332966886,29.076130290981382,29.076130290981382,29.277643457986414,right,0.22789354203268886,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0,180,31,3,2,right,0.5370494589442387,None,2,3,31,13,29.29119791602716,,,,,,,,,29.27825400000438,29.3784695409704,29.29119791602716,29.29119791602716,29.69246375001967,29.89250233292114,29.89250233292114,29.89250233292114,29.89250233292114,30.44340712495614,right,0.5370494589442387,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0,0,32,4,2,left,0.24863045802339911,None,2,4,32,6,30.449286374961957,,,,,,,,,30.444146165973507,30.54107583302539,30.449286374961957,30.449286374961957,30.84273195802234,31.044553790939972,31.044553790939972,31.044553790939972,31.044553790939972,31.312343832920305,left,0.24863045802339911,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,180,33,5,2,left,0.24669362499844283,None,2,5,33,8,31.325076333014295,,,,,,,,,31.31290295801591,31.412232790957205,31.325076333014295,31.325076333014295,31.708285874919966,31.910423832945526,31.910423832945526,31.910423832945526,31.910423832945526,32.15925000002608,left,0.24669362499844283,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
