thisRow.t,notes,trial_num,direction_presented_deg,side,response_direction_deg,direction_error_deg,response_time_s,participant,session,date,expName,frameRate,
,,64,160.0,right,170.33353031276476,10.333530312764765,2.8494264999753796,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,65,195.0,right,190.67249025706639,-4.327509742933614,4.378820999991149,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,66,15.0,right,6.949450065394672,-8.050549934605328,2.833005666034296,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,67,140.0,right,154.54714756906748,14.547147569067477,4.255886624974664,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,68,60.0,right,62.78519165082815,2.7851916508281533,3.9323037909925915,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,69,330.0,left,335.5183941092946,5.518394109294604,3.92833108297782,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,70,105.0,right,144.4692349790709,39.469234979070905,4.353217374999076,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,71,40.0,left,358.4343665228027,-41.56563347719731,2.3631073339493014,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,72,245.0,right,245.40766082301815,0.40766082301814777,4.933443834015634,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,73,320.0,left,312.772156726591,-7.2278432734090075,2.8783308750134893,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,74,5.0,right,356.9914530684953,-8.008546931504725,4.560857167001814,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,75,15.0,left,342.1712664572706,-32.828733542729424,2.5068287079920992,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,76,100.0,left,100.23127123873753,0.23127123873751998,2.0187048750231043,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,77,185.0,right,169.20122654917515,-15.798773450824854,4.7555617920006625,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,78,295.0,left,290.9223264151901,-4.077673584809872,2.172832374984864,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,79,300.0,right,342.7914929787097,42.7914929787097,1.989870624965988,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,80,250.0,right,240.91448061312525,-9.08551938687475,1.7188075830345042,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,81,150.0,right,181.15145008208682,31.151450082086825,2.9666335830115713,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,82,230.0,right,231.73423469347728,1.7342346934772763,2.923754875024315,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,83,190.0,right,179.79867255210294,-10.201327447897057,2.549352457979694,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,84,285.0,right,301.05248339837976,16.052483398379763,2.166945584001951,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,85,85.0,right,90.78635594525139,5.786355945251387,3.9734753749798983,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,86,345.0,right,359.2277234817464,14.227723481746409,3.7618605829775333,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,87,350.0,right,357.93414556205823,7.934145562058234,3.685982041992247,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,88,240.0,left,226.33661021925624,-13.663389780743756,3.002495499968063,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,89,75.0,right,43.030518844969265,-31.969481155030735,3.499443208973389,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,90,75.0,left,73.66778591893507,-1.332214081064933,4.150982249993831,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,91,280.0,right,307.1163144922965,27.11631449229651,1.4790289170341566,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,92,235.0,right,203.85626623155161,-31.143733768448385,3.3893702090135776,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,93,145.0,left,153.58839116409337,8.588391164093366,3.6771238329820335,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,94,5.0,left,0.02380798310332466,-4.976192016896675,2.1942935420083813,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,95,135.0,right,177.72685167977414,42.72685167977414,5.220247625024058,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,96,245.0,left,218.02596282348122,-26.974037176518777,2.78290912497323,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,97,50.0,right,25.677474805649297,-24.322525194350703,4.672533459030092,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,98,280.0,left,280.78590075523584,0.7859007552358435,2.345472000015434,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,99,30.0,left,1.7744389199097554,-28.225561080090245,2.349485542043112,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,100,290.0,left,286.8386820544865,-3.161317945513474,2.4458419590373524,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,101,25.0,right,1.3800440643560705,-23.61995593564393,5.0627678749733604,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,102,205.0,right,178.0379139349111,-26.962086065088897,1.9352382080396637,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,103,350.0,left,357.95866557306204,7.958665573062035,2.7019468329963274,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,104,260.0,right,255.34143898145965,-4.658561018540354,3.812981875031255,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,105,85.0,left,78.66581945845002,-6.3341805415499834,3.0124654159881175,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,106,225.0,left,201.33840218611468,-23.661597813885322,2.7689677500166,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,107,215.0,left,183.87298485375783,-31.127015146242172,4.290438291965984,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,108,180.0,right,179.1948612692462,-0.8051387307538107,2.233017958002165,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,109,70.0,right,55.998619733348846,-14.001380266651154,1.9791490419884212,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,110,300.0,left,292.11329212994673,-7.886707870053272,1.9499158329563215,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,111,205.0,left,158.96852259283918,-46.03147740716082,4.803359833022114,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
