speed,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,circle_block.started,polygon.started,dots.started,dots.stopped,slider.started,key_resp.started,trial.stopped,trials.slider.response,trials.slider.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.004,9,2,1,3,2.604241290999198,return,1.830711375001556,None,1,2,9,0,33.4754439999997,,,,33.471487790997344,33.4754439999997,33.4754439999997,33.569465124997805,34.56953249999788,34.56953249999788,34.56953249999788,36.403819207997,3,2.604241290999198,return,1.830711375001556,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.001,10,3,1,2.280040733197556,2.3714173750013288,return,1.6877124169986928,None,1,3,10,2,36.408243874997424,,,,36.40451295799721,36.408243874997424,36.408243874997424,36.48927029100014,37.48631266599841,37.4994054159979,37.4994054159979,39.19408762499734,2.280040733197556,2.3714173750013288,return,1.6877124169986928,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.00025,11,4,1,1.4577393075356415,3.6082774169990444,return,2.846186624999973,None,1,4,11,4,39.202735082999425,,,,39.194845415997406,39.202735082999425,39.202735082999425,39.28932445799728,40.30194420799671,40.30194420799671,40.30194420799671,43.15387537499919,1.4577393075356415,3.6082774169990444,return,2.846186624999973,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
6.25e-05,12,5,1,1,2.271255249997921,return,1.56469662499876,None,1,5,12,6,43.1582971659991,,,,43.1545879999976,43.1582971659991,43.1582971659991,43.25285658299981,44.25004445800005,44.25004445800005,44.25004445800005,45.820646500000294,1,2.271255249997921,return,1.56469662499876,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.0005,13,6,1,1.989816700610998,2.598764750000555,return,1.7833168749966717,None,1,6,13,3,45.82538016599938,,,,45.82140354099829,45.82538016599938,45.82538016599938,45.919594166000024,46.90656391599987,46.92097508299776,46.92097508299776,48.710943665999366,1.989816700610998,2.598764750000555,return,1.7833168749966717,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.002,14,0,2,2.6415478615071284,2.314736416999949,return,1.5478930409990426,None,2,0,14,1,48.719377290999546,,,,48.71166687499863,48.719377290999546,48.719377290999546,48.80683979099922,49.80326508299913,49.81744316599725,49.81744316599725,51.37059787499675,2.6415478615071284,2.314736416999949,return,1.5478930409990426,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.004,15,1,2,3,1.9546310840014485,return,1.1481500410009176,None,2,1,15,0,51.375194832999114,,,,51.37133812499815,51.375194832999114,51.375194832999114,51.45620087499992,52.45288920799794,52.46851862499898,52.46851862499898,53.62053795799875,3,1.9546310840014485,return,1.1481500410009176,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.001,16,2,2,2.1527494908350304,2.3384660000010626,return,1.572098000000551,None,2,2,16,2,53.624924290998024,,,,53.62122662499678,53.624924290998024,53.624924290998024,53.7061402909967,54.7186345409973,54.7186345409973,54.7186345409973,56.29345466599989,2.1527494908350304,2.3384660000010626,return,1.572098000000551,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.00025,17,3,2,1.5621181262729125,2.326021707998734,return,1.6178767080018588,None,2,3,17,4,56.30267166599879,,,,56.29420687499805,56.30267166599879,56.30267166599879,56.38928533299986,57.40227262499684,57.40227262499684,57.40227262499684,59.028209457999765,1.5621181262729125,2.326021707998734,return,1.6178767080018588,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
0.000125,18,4,2,None,None,return,15.60354599999846,None,2,4,18,5,59.036086582997086,,,,59.02894741599812,59.036086582997086,59.036086582997086,59.12284195800021,60.11968912500015,60.13384558299731,60.13384558299731,75.74517691599976,None,None,return,15.60354599999846,None,demo,001,2025-02-14_18h51.09.433,speed-estimation,2024.2.4,None,2025-02-14 18h51.15.253601 -0500,
