blobHeight,blobWidth,offset,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Wait.started,start_trial_text.started,start_key_resp.started,Wait.stopped,start_key_resp.keys,start_key_resp.rt,start_key_resp.duration,trial.started,noise.started,blob_1.started,blob_1.stopped,blob_2.started,blob_2.stopped,noise_2.started,key_resp.started,noise.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1.0,0.07,-0.04,10,10,0,left,0.21379925007931888,None,0,10,10,36,11.164626499987207,,,,,,,,,11.143711916985922,11.164626499987207,11.231466708006337,11.491982333012857,11.573870917083696,11.823787749977782,11.87304475007113,11.87304475007113,11.920011750073172,12.08853158308193,left,0.21379925007931888,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,0.04,11,11,0,right,0.22007529204711318,None,0,11,11,19,12.136958583025262,,,,,,,,,12.11416304204613,12.136958583025262,12.189397374982946,12.439711500075646,12.539960250025615,12.789625708013773,12.841809874982573,12.841809874982573,12.886757167056203,13.071904957992956,right,0.22007529204711318,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,-0.02,12,12,0,left,0.2051188750192523,None,0,12,12,32,13.120384500012733,,,,,,,,,13.097121583065018,13.120384500012733,13.174363875063136,13.42426175007131,13.523973542032763,13.773496208013967,13.823330917046405,13.823330917046405,13.87007954204455,14.03851574996952,left,0.2051188750192523,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,0.04,13,13,0,right,0.07778683304786682,None,0,13,13,16,14.08911733306013,,,,,,,,,14.066955292015336,14.08911733306013,14.142868582974188,14.407065292005427,14.492173167061992,14.75699041702319,14.789994416991249,14.789994416991249,14.836757041979581,14.870952000026591,right,0.07778683304786682,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,-0.02,14,14,0,left,0.27528366702608764,None,0,14,14,35,14.907761250040494,,,,,,,,,14.889903542003594,14.907761250040494,14.974312750040554,15.222488667001016,15.322720292024314,15.572794917039573,15.625689374981448,15.625689374981448,15.653461750014685,15.90546716703102,left,0.27528366702608764,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,-0.08,15,15,0,left,0.18463941698428243,None,0,15,15,40,15.956691832980141,,,,,,,,,15.933006042032503,15.956691832980141,16.010135458083823,16.258680541999638,16.35669283301104,16.60614087502472,16.6559438330587,16.6559438330587,16.70339912502095,16.85512316704262,left,0.18463941698428243,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,0.04,16,16,0,right,0.14197129209060222,None,0,16,16,18,16.90158570802305,,,,,,,,,16.87937395798508,16.90158570802305,16.96927066706121,17.23049866699148,17.310973957995884,17.57276750006713,17.605673582991585,17.605673582991585,17.653244458022527,17.755155333084986,right,0.14197129209060222,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,-0.16,17,17,0,left,0.20652704208623618,None,0,17,17,46,17.799425416975282,,,,,,,,,17.778160833055153,17.799425416975282,17.867107000085525,18.128982207970694,18.21014175005257,18.474129542009905,18.506523124990053,18.506523124990053,18.552993958001025,18.722193250083365,left,0.20652704208623618,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,0.08,18,18,0,right,0.09981945902109146,None,0,18,18,21,18.77043033298105,,,,,,,,,18.747536292066798,18.77043033298105,18.825116125051863,19.07361420802772,19.172977957990952,19.423138207988814,19.472946292022243,19.472946292022243,19.519935042015277,19.57376383303199,right,0.09981945902109146,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,0.08,19,19,0,right,0.34547783294692636,None,0,19,19,23,19.610531833022833,,,,,,,,,19.592916666995734,19.610531833022833,19.6759224999696,19.939626083010808,20.039550916990265,20.290550917037763,20.322615124983713,20.322615124983713,20.36992666707374,20.672032125061378,right,0.34547783294692636,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,0.16,20,20,0,right,0.24426733306609094,None,0,20,20,27,20.722803625045344,,,,,,,,,20.699326042085886,20.722803625045344,20.77713812503498,21.039430791977793,21.122467792010866,21.372780499979854,21.422637375071645,21.422637375071645,21.470065957983024,21.671855292050168,right,0.24426733306609094,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,0.005,21,21,0,left,0.7446875419700518,None,0,21,21,7,21.72077691706363,,,,,,,,,21.697874375036918,21.72077691706363,21.774983791983686,22.039734875084832,22.122776167001575,22.37543029198423,22.42401258298196,22.42401258298196,22.470071875024587,23.172373875044286,left,0.7446875419700518,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,0.01,22,22,0,right,0.11668025003746152,None,0,22,22,9,23.232682417030446,,,,,,,,,23.204430958023295,23.232682417030446,23.287849833024666,23.53938529198058,23.62278866698034,23.87308104208205,23.922770207980648,23.922770207980648,23.986627666978166,24.041405708063394,right,0.11668025003746152,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,0.04,23,23,0,right,0.18495533301029354,None,0,23,23,17,24.07816500007175,,,,,,,,,24.06070312508382,24.07816500007175,24.143161875079386,24.40611495799385,24.505514250020497,24.75747658300679,24.806636875029653,24.806636875029653,24.836777792079374,25.005262874998152,right,0.18495533301029354,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,-0.01,24,24,0,left,0.2730818329146132,None,0,24,24,28,25.052986375056207,,,,,,,,,25.03049837506842,25.052986375056207,25.10772349999752,25.372711166972294,25.45596170797944,25.7089065000182,25.757715333020315,25.757715333020315,25.80332016700413,26.03873124998063,left,0.2730818329146132,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
